Filename,Category,Reference,SHA 1,MD5,Hash (SHA256)
RSA_Demo_Authentication_Manager_7.1.exe,CD,https://www.virustotal.com/en/file/37fe299ed3fd2584c9f6ff5473b2de4a7bd27e2561e0aa41df5afc5bf6ec3c41/analysis/,b924089075e7c5a3f5517190743718db551488e6,8390d4d97eb1075960fc69160ffec184,37fe299ed3fd2584c9f6ff5473b2de4a7bd27e2561e0aa41df5afc5bf6ec3c41
SALVTIMB.EXE,CD,https://www.virustotal.com/en/file/64abe3dea01a2064a62916e531a189ed93d730aed9876dc439c4eb78e3076345/analysis/,5af183d124743d3a8eb6487d87c2d642c4129445,1ecb837c25000482f9eba7b016f97d53,64abe3dea01a2064a62916e531a189ed93d730aed9876dc439c4eb78e3076345
SANHQInstall.exe,C,https://www.virustotal.com/en/file/51965ab9ffcb63f6104d451fd15f78331cbba796e28ac7748e8eefbe0b0f006c/analysis/,f3148c679ac9979de35fd8d5b20b189946d7c4cd,916e6874c4da8d8fcc4b62a3d0948245,51965ab9ffcb63f6104d451fd15f78331cbba796e28ac7748e8eefbe0b0f006c
scout-p.exe,A,https://www.virustotal.com/en/file/9db48e1cb712104830461c062d0a93f8e3b4043c0ab8b2dc0e1f5599827f4e21/analysis/,5ab36b7bb8b782cdc3a4670adf3afa2dabc978b8,2911e7d0f7a9ee343532865de81b1cc5,9db48e1cb712104830461c062d0a93f8e3b4043c0ab8b2dc0e1f5599827f4e21
scout-pulito.exe,A,https://www.virustotal.com/en/file/5a45524e9ad739585c3851b32f660d777624c811d0b293b3474fa2568e8022d4/analysis/,bab514067c72f51786054136d2e6ab927c62b275,b8bb19a432127cae3680ab46140c4789,5a45524e9ad739585c3851b32f660d777624c811d0b293b3474fa2568e8022d4
secondstage-20080805.exe,A,https://www.virustotal.com/en/file/b40d0ed8d1b7bbd0d52990ccbb7e927777d9854640c6c4b0adc683d55a965758/analysis/,8a0fa4074403caeef809113ba7c84eba4404ed9c,2c367d915ca37e237df16d8548151a8b,b40d0ed8d1b7bbd0d52990ccbb7e927777d9854640c6c4b0adc683d55a965758
seg_encrypt.exe,A,https://www.virustotal.com/en/file/8306c3a000636a21275774fcc17cd0bf75d1959bd9ea6bdb272666fda8494649/analysis/,09920b2f0d20df022da507ab7b334392f7380cb4,4b5d19d8a0bc70b2165144cb9be227e7,8306c3a000636a21275774fcc17cd0bf75d1959bd9ea6bdb272666fda8494649
seg_encrypt.exe,B,,896fe06a9b746dbd9f581267fbf8209a9d071c77,3ae733df029c56fa2e3fc9c07458d8c2,72269cb148f90e8dd2eefc947eb59af88e8f7bb9fbca2dc0d0d572f7a727a6e1
setup.dll,A,https://www.virustotal.com/en/file/abbac3dda22f825197dd65b8c1076c5ab8d7ecaa2ce2821b242f63154eafce3a/analysis/,f9860169568558df2eb06b9a7ab9d0a89f45cd44,1c5764dd71b9109dbbcd83201be2ceae,abbac3dda22f825197dd65b8c1076c5ab8d7ecaa2ce2821b242f63154eafce3a
Setup.exe,A,https://www.virustotal.com/en/file/988246ec5ee40470dd1c6661f7509d43dfa3debadd66ae4722a091935ecb56d9/analysis/,7b2507e7e06044fe193b811b7c6ee3768652fc67,5bad3163f9caf8686c7b9e43934a696f,988246ec5ee40470dd1c6661f7509d43dfa3debadd66ae4722a091935ecb56d9
setup.exe,A,https://www.virustotal.com/en/file/a5948e46db292b61d4c4032a7c7af15453477dd6ce4453daa4a6753c7763d873/analysis/,a56a1b3f473346f0395c0de433938dbf4fa25a11,c219ac463ef4bb377b0b5e7ec19ce976,a5948e46db292b61d4c4032a7c7af15453477dd6ce4453daa4a6753c7763d873
SETUP.EXE,A,https://www.virustotal.com/en/file/b524abb464b30366afff9b01da259432f76fef62a7b9d128284e289e76b3da16/analysis/,f3c3f9e3139efb822e7b574898e95c38498462c0,2377d5fa8c47ed262d49575e2e612433,b524abb464b30366afff9b01da259432f76fef62a7b9d128284e289e76b3da16
Setup_.exe,A,https://www.virustotal.com/en/file/e32cfd415d5aee289a62a02b28b7815346cd150d70c0e1f95bb92ecf26a855de/analysis/,ded04333c0eeb0f7978da4f298c191ecf42f98c2,e1e36fa0c482c71fd777be049272f7d2,e32cfd415d5aee289a62a02b28b7815346cd150d70c0e1f95bb92ecf26a855de
setup_Universal_U3_Customizer.exe,A,https://www.virustotal.com/en/file/b606cad7024a165b899e3d2ae9625e6d0f207928eb2838a6c4c8b26ddd583bb8/analysis/,e4c874697e71bb3b3b7fa0d5142f5c28df786313,448975cbf086c450d1ac6285f1b57e95,b606cad7024a165b899e3d2ae9625e6d0f207928eb2838a6c4c8b26ddd583bb8
Shared.dll,C,,78372f41d5e92207f278f059176bd8bdbf7b774c,81d32d0789ba7705f5ed8183d09d6785,352999525fed75cc48b4d0af95448c67ee75b13b4645d4a3d6c632e4e3044073
SharePoint.exe,CD,Cracked/Pirated Sharepoint,fbf5b3ac63177bc6d0f442a17fed7cc99f2b1469,cb7cd0801dddf01580c986890538a231,5e54fc43c0013f38c12ad777dd209a463c7d73db3a0c01ca0903976d856dfae4
ShellcodeInjector.exe,A,https://www.virustotal.com/en/file/31e9433eccf1c150462b705af11eff50587d25526225d0c4ba07312af0c81969/analysis/,4357e25f04f902a67604b8b9a6a122a9d3ca0357,a835bd1a588d516e8d9b12c7b85d54de,31e9433eccf1c150462b705af11eff50587d25526225d0c4ba07312af0c81969
Sierra Wireless Software Suite Full Installer v2-33.exe,CD,Hash not found online,a32191c086d1b3d2e83b493490560cc225faf69c,b834ac77ed662c67942163bfa776f64e,1bff9f531ad4cbf5a829436b6e459867ec0a956cc1a40c0bd8eb3c0d4846293b
Sierra_Wireless_Software_Suite_Light_Installer_v1-1-2.exe,CD,https://www.virustotal.com/en/file/e69f9773be05b1d0757ca826206aef1585e67282d2fbf544869034cff3a49194/analysis/,af2f9a22a1fa3b57ffeb41c45049e73fe4a6a284,2c588e6cedd33f8d4f3122ec3b90b5dc,e69f9773be05b1d0757ca826206aef1585e67282d2fbf544869034cff3a49194
Sierra_Wireless_Software_Suite_Light_Installer_v1-1-5.exe,CD,https://www.virustotal.com/en/file/ff156bb8efa93bcd15fd0d49fc154dc43835e1b66f7226dd27b66bb67622a516/analysis/,221a77832f5b39e0e5c4d7099e4d96c9ba6c3bba,81b9f49f11d4cab2cb68ead87a017d36,ff156bb8efa93bcd15fd0d49fc154dc43835e1b66f7226dd27b66bb67622a516
sigmake.exe,A,https://www.virustotal.com/en/file/941ceeb2cbe1969dc41059e0766b5d6df687e8e8d96e31efea71699686ab6b9e/analysis/,ea072de4b781749a694628da0758c934ce9cb0a4,014402d32082497d9fae6b339f358401,941ceeb2cbe1969dc41059e0766b5d6df687e8e8d96e31efea71699686ab6b9e
Sleep.exe,A,https://www.virustotal.com/en/file/adca333d2cee959c9323327ec8b3abd1193f34c520b80e4f699b49f70e14971c/analysis/,87c6760c13c17e35d90a203a2acacfdf2ada0ed2,f413e8519a67390e4618fb3653250572,adca333d2cee959c9323327ec8b3abd1193f34c520b80e4f699b49f70e14971c
SmsFilter.dll,CD,https://www.virustotal.com/en/file/f3caf8fac708bf3a4ea0511e06849a169e020bdf19c0f8f526abce0b3951fa42/analysis/,4be90804476b2833fe6afcaba35b07ecaa522a2c,44a6cdacf598a7905401b4f32d13eb41,f3caf8fac708bf3a4ea0511e06849a169e020bdf19c0f8f526abce0b3951fa42
SNAP.EXE,CD,https://www.virustotal.com/en/file/fd0d4f1a711a8de644667f0013e27dabb826d01b4a7563266c9cc701e9d5d838/analysis/,3e89aa84e3e1296f5c031234de28231e4db014d1,d3de67c7200164dc3e6b67e90b5cef3a,fd0d4f1a711a8de644667f0013e27dabb826d01b4a7563266c9cc701e9d5d838
so_1.exe,A,https://www.virustotal.com/en/file/2c72175f96c651eea3d3411efacf73e0fb3e7543451b73f5e2521f47be67f006/analysis/,f80dbd487b738df05fe27b8d5238cbd3e429dd97,8a19326b0ecbad83058b0ab803bad254,2c72175f96c651eea3d3411efacf73e0fb3e7543451b73f5e2521f47be67f006
soldier,B,,96d230111d22f00762507dfde87cef89818741a5,e020e15263f94716347b3755415e3db2,1b8fc7508f0e1ccfb2fabb513054dfe517e29f42383d865e68f1b70fc96cc239
Soldier.exe,A,https://www.virustotal.com/en/file/ec0e0c640f83d91fc50d657870f4b1d07bff0300ad6ba841bc7a211160ca79bf/analysis/,ac63f0f2ccfd7ef77b1369130e2d4316c306b4d8,5169e6cf3d06429b94bafd835b5e2791,ec0e0c640f83d91fc50d657870f4b1d07bff0300ad6ba841bc7a211160ca79bf
SP4I386.EXE,CD,https://www.virustotal.com/en/file/62cac70e6ee1b46d4fd5402a567e8519a4ae16bc32b906c90f74ea471e97e4f5/analysis/,e8d11f404bcb5dc068fd1ed2e347a4f5ac762a11,a18aa31f0d54d99b6520e95b78c6758f,62cac70e6ee1b46d4fd5402a567e8519a4ae16bc32b906c90f74ea471e97e4f5
SQLEXPR.EXE,CD,Hash not found online,67301d1e59e1584351f2725b27ec4c8933a7f57d,1c6737a462b2216520b2edb92a69c214,e1c2e858abf286ac76b072928c9581841618720d182394b8bcbbb7147bec0cf7
sseIdrvdll32e.dll,CD,https://www.virustotal.com/en/file/8ee48f42bcc3006d84ac7230f8a3aa811bbe1c0d5120573638c5ffe41af15fe8/analysis/,ca5ddf4b72258eb3c3d49a4511858ea4a2c18653,0f5817f32ff94351ed4133be59b319b9,8ee48f42bcc3006d84ac7230f8a3aa811bbe1c0d5120573638c5ffe41af15fe8
ssePmxdll32e.dll,CD,https://www.virustotal.com/en/file/b26d39d79b068a7d13fe3526f29bb26165b518fca3b0baf28ad0daa8ed576e85/analysis/,cdf2e2fa4d33f7e9813bd4f900ae321c5605c1d8,d40c814ee7918bf836f4ef7fe065e2f5,b26d39d79b068a7d13fe3526f29bb26165b518fca3b0baf28ad0daa8ed576e85
STAMPE.EXE,CD,https://www.virustotal.com/en/file/03dddfa669c3aeabbdaf320ef725d4f9741096a13fe541946655b2acdab66003/analysis/,75cfa620be2f605ea4299b0fca5f66e0592934d8,aaf431b35c9decfd899ef935936997e1,03dddfa669c3aeabbdaf320ef725d4f9741096a13fe541946655b2acdab66003
